Total de spams diários
0
20926000
22505000
19799500
17269500
18887000
18566500
15547500
18188500
38640000
31660000
19199500
14241000
13333500
13774500
14895000

"FONTE: 
<ESTATÍSTICAS | Mapa em tempo real de ameaças cibernéticas da Kaspersky. 
[S. l.]: Kaspersky Lab, 2020. Disponível em: https://cybermap.kaspersky.com/pt/stats/#country=215&type=kas&period=m. 
Acesso em: 18 jun. 2020.>"
